app_name,prv_com.google.firebase.provider.firebaseinitprovider,rcv_androidx.work.impl.utils.forcestoprunnable$broadcastreceiver,act_com.google.android.play.core.common.playcoredialogwrapperactivity,rcv_androidx.work.impl.background.systemalarm.constraintproxy$networkstateproxy,rcv_androidx.work.impl.diagnostics.diagnosticsreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterychargingproxy,act_com.google.android.gms.ads.outofcontexttestingactivity,srv_com.google.android.datatransport.runtime.backends.transportbackenddiscovery,rcv_androidx.work.impl.background.systemalarm.reschedulereceiver,perm_android.permission.post_notifications,rcv_com.google.android.datatransport.runtime.scheduling.jobscheduling.alarmmanagerschedulerbroadcastreceiver,srv_androidx.work.impl.foreground.systemforegroundservice,srv_com.google.android.gms.measurement.appmeasurementjobservice,srv_com.google.android.gms.ads.adservice,perm_com.google.android.gms.permission.ad_id,perm_android.permission.access_adservices_ad_id,rcv_androidx.work.impl.background.systemalarm.constraintproxyupdatereceiver,srv_androidx.work.impl.background.systemalarm.systemalarmservice,act_com.google.android.gms.common.api.googleapiactivity,perm_android.permission.access_adservices_attribution,prv_androidx.startup.initializationprovider,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterynotlowproxy,srv_com.google.firebase.components.componentdiscoveryservice,perm_android.permission.foreground_service,srv_com.google.android.gms.measurement.appmeasurementservice,srv_androidx.work.impl.background.systemjob.systemjobservice,rcv_androidx.profileinstaller.profileinstallreceiver,srv_androidx.room.multiinstanceinvalidationservice,rcv_com.google.android.gms.measurement.appmeasurementreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,perm_com.google.android.finsky.permission.bind_get_install_referrer_service,perm_android.permission.access_adservices_topics,prv_com.google.android.gms.ads.mobileadsinitprovider,srv_com.google.android.datatransport.runtime.scheduling.jobscheduling.jobinfoschedulerservice,access_location,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,used_requestnetwork,write_file,total_bytes,std_packet_size,high_dns_queries,ip_only_traffic,dns_queries,frequent_beaconing_detected,unique_flows,many_unique_ips,uncommon_ports_used,unique_dest_ips,suspicious_user_agent,skew_packet_size,avg_packet_size,max_packet_size,min_inter_arrival_time,total_packets,min_packet_size,flow_entropy,max_inter_arrival_time,avg_inter_arrival_time,avg_flow_duration,label
video_player_audio_player_music,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,17.16079268215906,10.09306943244645,0,1,0.0,0,2.6390573296152584,0,0,2.302585092994046,0,0.4211506171241209,9.452909579096035,11.088476294450215,0.0,7.708410667257367,3.8918202981106265,0.7929779514232077,2.8424223352546836,0.0245989623531463,0.0245989623531463,0
000142080A2854488DAC3F43D11F15A3BEFB2F1CEDAA904FCEEB2C2E28D6A29F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,17.580338457378843,10.138913936483986,0,1,0.0,0,2.772588722239781,0,0,2.3978952727983707,0,0.4438688243728887,9.562771574462886,11.088476294450215,0.0,8.017966703493599,3.8918202981106265,0.8283310744268203,1.7656249010604887,0.0103478057945295,0.0103478057945295,1
00010212C58DAC25E27496BF1BADAFBEABE2613C3D772EDAA97C2906A8DD8E6E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,17.036430731726533,10.03688653830772,0,1,0.0,0,2.1972245773362196,0,0,1.9459101490553132,0,0.3763141492375564,9.26166992621054,11.088476294450215,0.0,7.7752758464868625,3.8918202981106265,0.79298090495176,2.176371541414424,0.0116651436482678,0.0116651436482678,1
00018B522A51D6573A615153E7BFB33AC961BF5EF604AC7EDB04072CE238B9AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,16.570269202402308,10.010693100427234,0,1,0.0,0,1.791759469228055,0,0,1.791759469228055,0,0.3782913668146647,9.24192868111591,11.088476294450215,0.0,7.329093736246592,4.110873864173311,0.7167142160704714,2.045646873917941,0.0195633024273057,0.0195633024273057,1
00005B6B8FDD182A2F7FF41FE9738CDDE5D39AF500D60DF38AE618BD76082CB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,16.452244977425853,9.593416855778305,0,1,0.0,0,2.5649493574615367,0,0,2.1972245773362196,0,0.2465893419441157,8.339656310030747,11.088476294450215,0.0,8.11312710422178,3.8918202981106265,0.7939946128051172,1.4077818350887588,0.0070284615526233,0.0070284615526233,1
00012AD75F4263341ADAF25A1AD4053584F797EAA205FC09FD240395C4C82F4F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17.179246680392584,10.109131716311587,0,1,0.0,0,1.791759469228055,0,0,1.6094379124341005,0,0.4278548526304863,9.48812229733156,11.088476294450215,0.0,7.691656822810547,3.8918202981106265,0.7517752781060816,1.83935845105848,0.0080580553350337,0.0080580553350337,1
00026A23B3B23660F09F453907E84BF0DF8F4DBD3D28725AEC5B1D725D4BAD70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17.4589258269533,10.136471626463214,0,1,0.0,0,2.4849066497880004,0,0,2.1972245773362196,0,0.4488303386907826,9.574042367277212,11.088476294450215,0.0,7.885329239273191,3.8918202981106265,0.8067176210772442,1.636456782909357,0.0093845112064526,0.0093845112064526,1
000289D22687E8289BB6B247D5C17A2376D29C6E667E8121F770D5D13FC274D5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,17.050814145202487,10.136663889021532,0,1,0.0,0,1.3862943611198906,0,0,1.3862943611198906,0,0.4418001058470117,9.554787624381923,11.088476294450215,0.0,7.496652438168283,3.044522437723423,0.6956900042591936,1.9590841376506565,0.0139320823076792,0.0139320823076792,1
0002D1950CC73492ADBFDA00645B13C47826A7F4299C29572F838B5F35842F01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16.277566013293736,9.911621036396014,0,1,0.0,0,1.9459101490553132,0,0,1.9459101490553132,0,0.3456015735996265,9.037035163751847,11.088476294450215,0.0,7.241366283322318,3.8918202981106265,0.7738456967886321,1.6297168707354308,0.0172744100405767,0.0172744100405767,1
00021820DEB84161664762DB6DFDD14359A3DC2C7F7C0E0BD7587DC4005E0A3A,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,16.127737320319046,9.898171814171617,0,1,0.0,0,1.791759469228055,0,0,1.791759469228055,0,0.3436694205561873,9.017162415523687,11.089698545683303,0.0,7.111512116496157,3.8918202981106265,0.7088756701802608,1.8133505258813392,0.0254623673300054,0.0254623673300054,1
