app_name,access_location,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,used_requestnetwork,write_file
00012AD75F4263341ADAF25A1AD4053584F797EAA205FC09FD240395C4C82F4F,0,0,0,0,0,1,1
000183CF190B53ABAF0E6B9C5D6F44B7804334C5DB3ACB2308E7CC3259122C3E,0,0,0,0,0,0,1
000289D22687E8289BB6B247D5C17A2376D29C6E667E8121F770D5D13FC274D5,0,0,0,0,0,0,1
000142080A2854488DAC3F43D11F15A3BEFB2F1CEDAA904FCEEB2C2E28D6A29F,0,0,0,0,0,0,1
000346F87D850BB9F756009D54FDCDD6F3944A597946D84BD7F596D96B883A2F,1,0,0,0,0,0,1
00005B6B8FDD182A2F7FF41FE9738CDDE5D39AF500D60DF38AE618BD76082CB5,1,1,0,0,1,0,1
00021576BF9645ECAD95279718EBC3ED25B3E0F9C667ABE950CF4B42A9453996,0,0,0,0,0,0,1
0002D1950CC73492ADBFDA00645B13C47826A7F4299C29572F838B5F35842F01,0,0,0,0,1,0,1
000314F0837FF123AF5445038690A6A697E4FEB6CCE50066D9E776C1EDC1942D,0,0,0,1,1,0,1
00026B5BA69D84234A229C2638D90FB4287B1C7E5DF5987F6E3028AA02EF1CD7,1,0,0,1,1,0,1
00016A9CC8E89A55E827BC17B84FC9C0F23A5FF5B21ADA378688DDB3D64A16EF,1,0,0,1,1,0,1
000287DD9FB45D48634157C56FDE589F5F6D1D27070827296121C723E3B5941C,0,0,0,0,1,0,1
00012E8F2E49E601EDC786CABAB52FA844D50ADD7D3D09EFD7F8B23E6BA42EFB,1,0,0,0,0,0,1
org_acharyaprashant_apbooks,1,0,0,0,0,0,1
pedometer_stepcounter_calorieburner_pedometerforwalking,1,0,0,0,0,0,1
photo_cameraselfie_sweet_camera,0,0,0,0,0,0,1
musicplayer_mp3player_musicapp,0,0,0,0,0,0,1
money_super_payments,1,0,0,0,0,0,1
org_thoughtcrime_securesms,1,1,0,0,0,0,1
me_ingala_galachat,0,0,0,0,0,0,1
maxplayer_mediaplayer_videoplayer,0,0,0,0,0,0,1
mymusic_offlinemusicplayer_mp3player_playmusic,0,0,0,0,0,0,1
mirchi_livevideo_chat,0,0,0,0,0,0,1
org_ondc_nirmitbap,1,0,0,0,0,0,1
net_skyscanner_android_main,1,0,0,0,0,0,1
net_manta_comic,1,0,0,0,0,0,1
org_telegram_messenger,1,1,0,0,1,0,1
mobi_mangatoon_novel_portuguese,0,0,0,0,0,0,1
paper_puzzle_fold_fun_play,0,0,0,0,0,0,1
music_ytstream_youtify,1,0,0,0,0,0,1
org_videolan_vlc,0,0,0,0,1,0,1
org_player,0,0,0,0,0,0,1
org_ieee_mobile_mcoe_ieee,0,0,0,0,0,0,1
notion_id,1,0,0,0,0,0,1
org_thunderdog_challegram,1,0,0,0,0,0,1
org_mozilla_firefox,0,0,0,0,0,0,1
net_openkochi_yatripartner,1,0,0,0,0,0,1
myradio_radio_fmradio_liveradio_radiostation,0,0,0,0,0,0,1
pdf_reader_pdfviewer_pdfeditor,0,0,0,0,0,0,1
math_games_education_learn_logic_fun,1,0,0,0,0,0,1
000EE43BF6B49402AE1AAF6A6BD1A73FAB6C1D70DAD36AC9A0A622B93770F492,0,0,0,0,0,0,1
000371520366622D75A974E3DA635976A5F8D6569A5D2CAEB08BDAB46E842734,1,1,0,0,1,1,1
000E3DD6B3F4044C09BDC1ACA170261A4F932618C561879282FC0A4027D5EC6F,1,0,0,0,0,0,1
000D44B413E70C3C02D3BC6D8E8FA4B17CC82E800974EA705201CBB6932EA41C,0,0,0,0,1,0,1
00052B07359A510114592A57CCC471CE4B2EAEFBF964A15375D5F000882E09A1,0,0,0,0,1,0,1
000F257D3E269DD0E241D2A910361CA8955702B3BA8ADEFEE30F78A6E8565E0B,0,0,0,0,1,0,1
000E7209DAFCBBDD351F4E2B433E7CFC2B5C03F56A2B9CE1CF0841EE27360257,0,0,0,1,1,1,1
000E2DD97692D742C6F7C2989FF1349D0DBA2BAFABEBF1220DC252D0E36679A7,0,0,0,0,0,1,1
0005082EE5323640027993C96117E03A8D2A6A5FE8A3CE4128E24E04174FBD9D,1,0,0,0,1,0,1
0005FAFA5FA61EA3FD6CAE8684ABE566B9F3513751AF5944066DA426CDCA02AE,0,1,0,0,1,0,1
00038EC8855A2CC9170C0F0882181482C9977CC4D3AF93475E2CED20BAC87601,1,0,0,1,1,0,1
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,1,0,0,0,1,1,1
000E609685B5DC5311F74F6C99E23811212AF904E95D18E23C39CDD4E55715DE,1,0,0,0,1,1,1
000F8752D05F315689A96A59D22CAE508F00B24717A329B07AA1881E4E4EC6DA,1,0,0,0,1,0,1
000D485BE7A0A9768C0006D1B5DBFE494C08234A4D3041B3FAE5B167AB627D76,0,0,0,0,1,0,1
00052B3AB096E61C3008AE77AA6C7DE22C28B08CFB61BCCDFC6128F373209139,1,1,0,0,1,1,1
000461DA0D6436E86A764335BECEC402D2B8EDAD0C04B5B4650F18DA926EBABD,0,0,0,0,0,0,1
0004AD1FC2C5E5D358D40A69E215E621FFF591805EDEC110DAD79E1093CA7CC1,1,0,0,0,1,0,1
00051A313DB5B3A7CD9212CF20F731F3F2B36420EA663D7A9D9268B1B46A1BE1,1,0,0,0,1,0,1
000DA8DF57190725B074F7DE2B00A219C90BB09C1FDF5177CEF5CB9C1B5E95A7,0,0,0,0,0,0,1
000D690021E538EBDB9C23EC8662C1CF59A874829FB1F59A9AF8A0F5B59FA815,0,0,0,0,0,0,1
00040F7E1034634D2B8B438E37E43E04D2523496FC668C592BB4F5C562E16073,0,0,0,0,0,0,1
000EF4DBFB190BAED04B24377C45A8B256199C98E7DAD0C76998BF4C06EA114A,0,0,0,0,0,0,1
00043914D385019B70FA2D0E289EC3FDF8A07CCED326C03EA3CF3D71BBBB1206,0,0,0,0,1,1,1
