app_name,srv_androidx.room.multiinstanceinvalidationservice,rcv_androidx.work.impl.background.systemalarm.constraintproxyupdatereceiver,perm_android.permission.access_adservices_topics,prv_com.google.firebase.provider.firebaseinitprovider,srv_androidx.work.impl.background.systemjob.systemjobservice,rcv_androidx.work.impl.background.systemalarm.constraintproxy$networkstateproxy,srv_com.google.android.datatransport.runtime.backends.transportbackenddiscovery,act_com.google.android.play.core.common.playcoredialogwrapperactivity,perm_com.google.android.finsky.permission.bind_get_install_referrer_service,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterychargingproxy,rcv_com.google.android.gms.measurement.appmeasurementreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterynotlowproxy,rcv_com.google.android.datatransport.runtime.scheduling.jobscheduling.alarmmanagerschedulerbroadcastreceiver,srv_androidx.work.impl.background.systemalarm.systemalarmservice,srv_com.google.firebase.components.componentdiscoveryservice,perm_com.google.android.gms.permission.ad_id,perm_android.permission.access_adservices_attribution,srv_com.google.android.datatransport.runtime.scheduling.jobscheduling.jobinfoschedulerservice,prv_com.google.android.gms.ads.mobileadsinitprovider,srv_com.google.android.gms.measurement.appmeasurementjobservice,perm_android.permission.foreground_service,srv_androidx.work.impl.foreground.systemforegroundservice,srv_com.google.android.gms.ads.adservice,rcv_androidx.work.impl.diagnostics.diagnosticsreceiver,rcv_androidx.profileinstaller.profileinstallreceiver,act_com.google.android.gms.ads.outofcontexttestingactivity,rcv_androidx.work.impl.utils.forcestoprunnable$broadcastreceiver,perm_android.permission.post_notifications,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,prv_androidx.startup.initializationprovider,perm_android.permission.access_adservices_ad_id,srv_com.google.android.gms.measurement.appmeasurementservice,rcv_androidx.work.impl.background.systemalarm.reschedulereceiver,access_location,write_file,used_requestnetwork,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,max_inter_arrival_time,unique_dest_ips,avg_inter_arrival_time,uncommon_ports_used,suspicious_user_agent,skew_packet_size,flow_entropy,std_packet_size,ip_only_traffic,high_dns_queries,total_bytes,dns_queries,many_unique_ips,min_packet_size,avg_packet_size,min_inter_arrival_time,total_packets,frequent_beaconing_detected,max_packet_size,avg_flow_duration,unique_flows,label
com_recz_android,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3.254212658708946,2.0794415416798357,0.0243024044273596,0,0,0.4791808201846748,0.8204298583409136,10.177985103387428,1,0,17.21898833754155,0.0,0,3.8918202981106265,9.69664956395339,0.0,7.52294091807237,0,11.088476294450215,0.0243024044273596,2.302585092994046,0
com_rcub_rclub,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,3.3546706092975924,1.9459101490553132,0.0175659104841098,0,0,0.5204513224269611,0.7281969093260414,10.239399033234417,1,0,17.965369420248702,0.0,0,3.8918202981106265,9.862229759589956,0.0,8.10349427838097,1,11.088476294450215,0.0175659104841098,2.1972245773362196,0
com_radio_pocketfm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2.829859304902197,2.1972245773362196,0.0072124822367472,0,0,0.5108875678248448,0.7530322623263722,10.264152212228218,1,0,18.9179664655558,0.0,0,3.8918202981106265,9.935328228507876,0.0,8.98281222234415,0,11.088476294450215,0.0072124822367472,2.5649493574615367,0
com_rajasthanroyals_app,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,3.086981536629714,2.1972245773362196,0.0405833666048408,0,0,0.408632927768651,0.9071320912473704,10.0526011044372,1,0,16.628789706069533,0.0,0,3.8918202981106265,9.376111955571284,0.0,7.253470382684528,0,11.088476294450215,0.0405833666048408,2.4849066497880004,0
00128CF93FF0259BC89FF983C00E538061BCD1ADEB304E71CA7C7E019D81FC0D,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2.120105900485219,1.791759469228055,0.0148240984861004,0,0,0.4532849673550928,0.7729727297067188,10.157127316307765,1,0,17.184855941352936,0.0,0,3.8918202981106265,9.606777708027144,0.0,7.578656850594762,0,11.088476294450215,0.0148240984861004,2.0794415416798357,1
0010CA64CA1061B2118072D529B29B5D2F1AE1588DA6A4475B3171D7E1DC53D1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.4547250557190643,1.9459101490553132,0.0227101776923942,0,0,0.3974916862692529,0.8082088836233784,10.034464583910326,1,0,16.38943970691266,0.0,0,3.8918202981106265,9.32476979435114,0.0,7.065613363597717,0,11.088476294450215,0.0227101776923942,2.1972245773362196,1
0012DF333367D76AFCE6E9A9F21002A4A1F1DCD1ED75BAFF1C1F7DB3CA1D579B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2.0991852159071978,1.6094379124341005,0.0153199760238976,0,0,0.3860749738542432,0.7509163175728335,10.01629456531788,1,0,16.494993780804883,0.0,0,3.044522437723423,9.27179207690212,0.0,7.22402480828583,0,11.088476294450215,0.0153199760238976,1.6094379124341005,1
0012A8B25CBE4F7D6FCB939E219C5520FFA0020C6081B7E881AC462EE3870CC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2.403840112392656,1.791759469228055,0.0307535083119521,0,0,0.2967008115602783,0.8372088428342831,9.711795883590742,1,0,15.508157728485871,0.0,0,3.8918202981106265,8.66351485612913,0.0,6.84587987526405,0,11.071330462204312,0.0307535083119521,2.0794415416798357,1
001201402F873F4971ECB75B1987DC3FAB3007C22D43AC433AF0D8EE20A3C4E9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2.5341325065635796,1.791759469228055,0.0060415465853154,0,0,0.5263578854460165,0.723126568065083,10.254604821233675,1,0,18.377940765442855,0.0,0,3.8918202981106265,9.89621787489786,0.0,8.481980435660493,0,11.088476294450215,0.0060415465853154,2.0794415416798357,1
0014ACC8F710F1211F7C0E235B8C324D1D26281A552CAACC9051895768C74693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.781581175489687,1.791759469228055,0.0068099107220743,0,0,0.4680865231602163,0.7857420624727027,10.18227751401854,1,0,17.374611454465377,0.0,0,3.8918202981106265,9.671666790194584,0.0,7.703459047867175,0,11.088476294450215,0.0068099107220743,1.791759469228055,1
00105A837C446B9DDDD8B89ED85BB786A8AC952094886022A679ECBDE3849DF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2358368721354607,1.9459101490553132,0.0160299964971872,0,0,0.4540285456751313,0.7846349489835908,10.155947922316647,1,0,17.198417178883837,0.0,0,3.8918202981106265,9.607632237287898,0.0,7.591357046698551,0,11.088476294450215,0.0160299964971872,2.302585092994046,1
000FC18BBFC78B0858A9C96A6FFCC4EAEAC7F2716D159788DB0F94CBF1E4FB4E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8141632978700453,1.9459101490553132,0.0219511690206062,0,0,0.3739867238202699,0.795425341318192,10.027950188271022,1,0,16.478062849474625,0.0,0,3.8918202981106265,9.245426200442896,0.0,7.233455418621439,0,11.088476294450215,0.0219511690206062,2.302585092994046,1
00104DF0BDA5BEE7E5CFDDD5EC581150EFC4F495EA0971ED07AA5DDF877D6D66,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.901266273873217,2.3978952727983707,0.0159062497445326,0,0,0.4163142389982321,0.8536370404752713,10.08979475995686,1,0,16.97296551409558,0.0,0,3.8918202981106265,9.43561526783579,0.0,7.537962659768208,0,11.088476294450215,0.0159062497445326,2.8903717578961645,1
00111F5CF230E2DD9BD66989E8EBDE87D881CB9A88C2C06DA94AEA4C3CD2FA12,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.805725130279821,2.0794415416798357,0.0172804247227158,0,0,0.3001807725883313,0.8206882733941777,9.75730269854101,1,0,15.8305688997769,0.0,0,3.8918202981106265,8.72166965884994,0.0,7.1098794630722715,0,11.088109327580147,0.0172804247227158,2.4849066497880004,1
001036DBBFAFE319473EB07C4FA1AE30FDBAACE28D58923FFB822DC75A817741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4430368843968107,2.0794415416798357,0.0112018514867382,0,0,0.4557375331941771,0.8061075736417821,10.16425343005806,1,0,17.52222160502454,0.0,0,3.8918202981106265,9.62054041589803,0.0,7.902117546276448,0,11.088476294450215,0.0112018514867382,2.4849066497880004,1
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2.201559287855188,1.6094379124341005,0.0116370012005758,0,0,0.4683479972522714,0.7155165123109537,10.192169567602134,1,0,17.496539376321653,0.0,0,3.8918202981106265,9.68220210324254,0.0,7.814803429489359,0,11.088476294450215,0.0116370012005758,1.9459101490553132,1
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2.7242406880377033,1.791759469228055,0.0133792770421662,0,0,0.5040563426961504,0.7364451544816566,10.215872369805522,1,0,17.495528514730637,0.0,0,3.8918202981106265,9.799371338171834,0.0,7.696667081526462,0,11.088476294450215,0.0133792770421662,1.9459101490553132,1
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2.201559287855188,1.6094379124341005,0.0116370012005758,0,0,0.4683479972522714,0.7155165123109537,10.192169567602134,1,0,17.496539376321653,0.0,0,3.8918202981106265,9.68220210324254,0.0,7.814803429489359,0,11.088476294450215,0.0116370012005758,1.9459101490553132,1
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2.7242406880377033,1.791759469228055,0.0133792770421662,0,0,0.5040563426961504,0.7364451544816566,10.215872369805522,1,0,17.495528514730637,0.0,0,3.8918202981106265,9.799371338171834,0.0,7.696667081526462,0,11.088476294450215,0.0133792770421662,1.9459101490553132,1
0014BA372F61C9C0EA6FB4F36E21E8A3C0B8377F0FC1C406684BB7BA9AC4EC50,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1.5309060142006037,2.1972245773362196,0.009239900608495,0,0,0.4282583368308578,0.8705348040057965,10.116789578123148,1,0,17.141248346752516,0.0,0,3.8918202981106265,9.496882637603273,0.0,7.644919344958857,0,11.088476294450215,0.009239900608495,2.5649493574615367,1
000E2DD97692D742C6F7C2989FF1349D0DBA2BAFABEBF1220DC252D0E36679A7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2.063590697315248,1.3862943611198906,0.0158567441237553,0,0,0.2844501737426769,0.7234557202935307,9.788669753529543,1,0,15.962236378985123,0.0,0,4.110873864173311,8.691395763294667,0.0,7.271703706887368,0,11.088476294450215,0.0158567441237553,1.791759469228055,1
000E2DD97692D742C6F7C2989FF1349D0DBA2BAFABEBF1220DC252D0E36679A7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2.334603287939879,2.1972245773362196,0.0238321939636714,0,0,0.4160897769326806,0.8612377199955898,10.03640187283244,1,0,15.95273645642978,0.0,0,3.8918202981106265,9.381937611491947,0.0,6.5722825426940075,0,11.088476294450215,0.0238321939636714,2.4849066497880004,1
